Subject,Activity,variable,Mean
1,WALKING_DOWNSTAIRS,tBodyAccMag.mean..,-0.0140828025671429
1,WALKING_DOWNSTAIRS,tBodyAccMag.std..,-0.101515471785714
1,WALKING_DOWNSTAIRS,tGravityAccMag.mean..,-0.0140828025671429
1,WALKING_DOWNSTAIRS,tGravityAccMag.std..,-0.101515471785714
1,WALKING_DOWNSTAIRS,tBodyAccJerkMag.mean..,-0.219716752860714
1,WALKING_DOWNSTAIRS,tBodyAccJerkMag.std..,-0.173363865521429
1,WALKING_DOWNSTAIRS,tBodyGyroMag.mean..,-0.0916624324642857
1,WALKING_DOWNSTAIRS,tBodyGyroMag.std..,-0.204749539785714
1,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.mean..,-0.405708505357143
1,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.std..,-0.461512406071429
1,WALKING_DOWNSTAIRS,fBodyAccMag.mean..,-0.06760317325
1,WALKING_DOWNSTAIRS,fBodyAccMag.std..,-0.264349880378571
1,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.mean..,-0.119701861678571
1,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.std..,-0.254298875903571
1,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.mean..,-0.248337149392857
1,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.std..,-0.324706683214286
1,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.mean..,-0.435965402464286
1,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.std..,-0.537559601428571
1,WALKING_UPSTAIRS,tBodyAccMag.mean..,-0.492214147385266
1,WALKING_UPSTAIRS,tBodyAccMag.std..,-0.531818239176489
1,WALKING_UPSTAIRS,tGravityAccMag.mean..,-0.492214147385266
1,WALKING_UPSTAIRS,tGravityAccMag.std..,-0.531818239176489
1,WALKING_UPSTAIRS,tBodyAccJerkMag.mean..,-0.574021004097179
1,WALKING_UPSTAIRS,tBodyAccJerkMag.std..,-0.545989980899812
1,WALKING_UPSTAIRS,tBodyGyroMag.mean..,-0.509087500201881
1,WALKING_UPSTAIRS,tBodyGyroMag.std..,-0.525740915096552
1,WALKING_UPSTAIRS,tBodyGyroJerkMag.mean..,-0.660039846322884
1,WALKING_UPSTAIRS,tBodyGyroJerkMag.std..,-0.668775141492163
1,WALKING_UPSTAIRS,fBodyAccMag.mean..,-0.51451018417837
1,WALKING_UPSTAIRS,fBodyAccMag.std..,-0.618268506526646
1,WALKING_UPSTAIRS,fBodyBodyAccJerkMag.mean..,-0.532375042459436
1,WALKING_UPSTAIRS,fBodyBodyAccJerkMag.std..,-0.567060313747649
1,WALKING_UPSTAIRS,fBodyBodyGyroMag.mean..,-0.560164643022571
1,WALKING_UPSTAIRS,fBodyBodyGyroMag.std..,-0.587806637924765
1,WALKING_UPSTAIRS,fBodyBodyGyroJerkMag.mean..,-0.664403718243574
1,WALKING_UPSTAIRS,fBodyBodyGyroJerkMag.std..,-0.698823947630094
2,WALKING,tBodyAccMag.mean..,-0.535281800541722
2,WALKING,tBodyAccMag.std..,-0.552812545643709
2,WALKING,tGravityAccMag.mean..,-0.535281800541722
2,WALKING,tGravityAccMag.std..,-0.552812545643709
2,WALKING,tBodyAccJerkMag.mean..,-0.58777744543543
2,WALKING,tBodyAccJerkMag.std..,-0.512115278415232
2,WALKING,tBodyGyroMag.mean..,-0.614771054893146
2,WALKING,tBodyGyroMag.std..,-0.680584887880795
2,WALKING,tBodyGyroJerkMag.mean..,-0.746559539039735
2,WALKING,tBodyGyroJerkMag.std..,-0.740088733655629
2,WALKING,fBodyAccMag.mean..,-0.514569861316887
2,WALKING,fBodyAccMag.std..,-0.646662308457285
2,WALKING,fBodyBodyAccJerkMag.mean..,-0.509746432970861
2,WALKING,fBodyBodyAccJerkMag.std..,-0.518800797709272
2,WALKING,fBodyBodyGyroMag.mean..,-0.699742945221854
2,WALKING,fBodyBodyGyroMag.std..,-0.725310337688742
2,WALKING,fBodyBodyGyroJerkMag.mean..,-0.751615078360927
2,WALKING,fBodyBodyGyroJerkMag.std..,-0.744194981440397
3,WALKING_DOWNSTAIRS,tBodyAccMag.mean..,-0.563140802770059
3,WALKING_DOWNSTAIRS,tBodyAccMag.std..,-0.591224780306452
3,WALKING_DOWNSTAIRS,tGravityAccMag.mean..,-0.563140802770059
3,WALKING_DOWNSTAIRS,tGravityAccMag.std..,-0.591224780306452
3,WALKING_DOWNSTAIRS,tBodyAccJerkMag.mean..,-0.650182434328446
3,WALKING_DOWNSTAIRS,tBodyAccJerkMag.std..,-0.607658214170381
3,WALKING_DOWNSTAIRS,tBodyGyroMag.mean..,-0.643150121648094
3,WALKING_DOWNSTAIRS,tBodyGyroMag.std..,-0.674010290979472
3,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.mean..,-0.784056656246334
3,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.std..,-0.80366136372434
3,WALKING_DOWNSTAIRS,fBodyAccMag.mean..,-0.579076453758064
3,WALKING_DOWNSTAIRS,fBodyAccMag.std..,-0.663079838985044
3,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.mean..,-0.604752108072727
3,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.std..,-0.615643694857361
3,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.mean..,-0.716822144279179
3,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.std..,-0.703839403007038
3,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.mean..,-0.810085498651026
3,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.std..,-0.810032718739003
4,WALKING,tBodyAccMag.mean..,-0.56158213510694
4,WALKING,tBodyAccMag.std..,-0.606556049548896
4,WALKING,tGravityAccMag.mean..,-0.56158213510694
4,WALKING,tGravityAccMag.std..,-0.606556049548896
4,WALKING,tBodyAccJerkMag.mean..,-0.656116311856877
4,WALKING,tBodyAccJerkMag.std..,-0.647249966810726
4,WALKING,tBodyGyroMag.mean..,-0.656291093847319
4,WALKING,tBodyGyroMag.std..,-0.706738493542587
4,WALKING,tBodyGyroJerkMag.mean..,-0.819191368044164
4,WALKING,tBodyGyroJerkMag.std..,-0.844187064164038
4,WALKING,fBodyAccMag.mean..,-0.602098037677603
4,WALKING,fBodyAccMag.std..,-0.672948341687697
4,WALKING,fBodyBodyAccJerkMag.mean..,-0.63501900541041
4,WALKING,fBodyBodyAccJerkMag.std..,-0.666506718936908
4,WALKING,fBodyBodyGyroMag.mean..,-0.745650754608833
4,WALKING,fBodyBodyGyroMag.std..,-0.732586304826498
4,WALKING,fBodyBodyGyroJerkMag.mean..,-0.838833209652997
4,WALKING,fBodyBodyGyroJerkMag.std..,-0.863096864037855
5,WALKING_DOWNSTAIRS,tBodyAccMag.mean..,-0.460866415568709
5,WALKING_DOWNSTAIRS,tBodyAccMag.std..,-0.52162345171192
5,WALKING_DOWNSTAIRS,tGravityAccMag.mean..,-0.460866415568709
5,WALKING_DOWNSTAIRS,tGravityAccMag.std..,-0.52162345171192
5,WALKING_DOWNSTAIRS,tBodyAccJerkMag.mean..,-0.589313870006622
5,WALKING_DOWNSTAIRS,tBodyAccJerkMag.std..,-0.589031268133113
5,WALKING_DOWNSTAIRS,tBodyGyroMag.mean..,-0.602770284825828
5,WALKING_DOWNSTAIRS,tBodyGyroMag.std..,-0.664078383532781
5,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.mean..,-0.707383517582782
5,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.std..,-0.734187493344371
5,WALKING_DOWNSTAIRS,fBodyAccMag.mean..,-0.528503022745033
5,WALKING_DOWNSTAIRS,fBodyAccMag.std..,-0.594259529756954
5,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.mean..,-0.573176177044172
5,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.std..,-0.613485123609272
5,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.mean..,-0.677355755703311
